Category,System Model,System Mfg,Part Mfg,Part Number
CT SCANNER,BRILLIANCE-64,PHILIPS,PHILIPS,451214885781
MRI SCANNER,PANORAMA-10T,PHILIPS,PHILIPS,452215026532
MAMMO UNIT,SENOGRAPHE-ESSENTIAL,GE,GE,2373567-8
MRI SCANNER,DISCOVERY-MR750-30T,GE,GE,5184384-5
CATH ANGIO LAB,AZURION-7-B12,PHILIPS,PHILIPS,459800424142
CT SCANNER,LIGHTSPEED-RT-16,GE,GE,ipn-10106935
CT SCANNER,AQUILION-LARGE-BORE-16-32,TOSHIBACANON,TOSHIBACANON,aquilion-large-bore-16-32
CT SCANNER,LIGHTSPEED-PRO-16-LIGHTSPEED-ULTRA-8-BRIGHTSPEED-ELITE-16-LIGHTSPEED-RT-16,GE,GE,t1t1t1t2
CT SCANNER,LIGHTSPEED-PRO-16-LIGHTSPEED-ULTRA-8-BRIGHTSPEED-ELITE-16-LIGHTSPEED-RT-16,GE,GE,t1t1t1t1
CT SCANNER,BRIVO-CT315-BRIVO-CT325,GE,GE,5323970
MAMMO UNIT,SENOGRAPHE-ESSENTIAL,GE,GE,5151772-3
MRI SCANNER,OPTIMA-MR450W,GE,GE,5748366-2
CATH ANGIO LAB,ALLURA-XPER-FD20-ALLURA-FD20-10,PHILIPS,PHILIPS,9890-000-85103
C ARM,BV-PULSERA-BV-ENDURA,PHILIPS,PHILIPS,452216703081
C ARM,OEC-FLUOROSTAR-7900,GE,GE,00-906399-01
RAD FLUORO ROOM,PRECISION-500D,GE,GE,2268972
MRI SCANNER,DISCOVERY-MR750-30T,GE,GE,5407765-10
CATH ANGIO LAB,AZURION-7-M20,PHILIPS,PHILIPS,459800676002
CT SCANNER,SENSATION-16,SIEMENS,SIEMENS,8905338
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213274332
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213231159
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213231198
MRI SCANNER,ACHIEVA-15T-INTERA-15T,PHILIPS,PHILIPS,452213310531
CT SCANNER,BRIVO-CT385,GE,GE,brivo-ct385
CT SCANNER,HISPEED,GE,GE,2144699
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,615906000403
MAMMO UNIT,MAMMODIAGNOST-DR,PHILIPS,PHILIPS,451213191251
MRI SCANNER,DISCOVERY-MR450,GE,GE,5184208-4
MRI SCANNER,APERTO,HITACHI,HITACHI,7110204a
CT SCANNER,MAGNETOM-SOLA-15T-DEFINITION-EDGE,SIEMENS,SIEMENS,8614203
C ARM,OEC-9900,GE,GE,5267682
MRI SCANNER,MAGNETOM-AERA,SIEMENS,SIEMENS,11724547
CT SCANNER,EMOTION-16-SOMATOM-EMOTION-SPIRIT,SIEMENS,SIEMENS,10355963
CT SCANNER,EMOTION-16-SOMATOM-EMOTION-SPIRIT,SIEMENS,SIEMENS,10355960
CT SCANNER,EMOTION-16-SOMATOM-EMOTION-SPIRIT,SIEMENS,SIEMENS,10355961
CT SCANNER,EMOTION-16-SOMATOM-EMOTION-SPIRIT,SIEMENS,SIEMENS,10355962
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,989000086481
CATH ANGIO LAB,ARTIS-ZEEGO,SIEMENS,SIEMENS,artis-zeego
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,300008204981
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,459800151576
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,453564180721
C ARM,BV-PULSERA,PHILIPS,PHILIPS,452230026252
CT SCANNER,SENSATION-16,SIEMENS,SIEMENS,8879574
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,459800002031
CT SCANNER,BRILLIANCE-ICT-256,PHILIPS,PHILIPS,459800882783
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,452212703337
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,459800151712
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,300008204931
MAMMO UNIT,MICRODOSE,PHILIPS,PHILIPS,l8t12av
MRI SCANNER,SIGNA-PIONEER-30T-DISCOVERY-MR750-30T,GE,GE,5250156-51
CT SCANNER,LIGHTSPEED-16,GE,GE,2192115-3
ULTRASOUND GENERAL,VIVID-E95,GE,GE,5776094-s
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,pdas16
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,7119386a
CT SCANNER,SUPRIA-16-REVOLUTION-ACT,HITACHI-GE,HITACHI-GE,hws300-24
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,cimr-va2a0004baa
CT SCANNER,SUPRIA-16,HITACHI,HITACHI,cz44bv-s11
CT SCANNER,DISCOVERY-HD750,GE,GE,oftd2217
CT SCANNER,DISCOVERY-HD750,GE,GE,zws240bp-24-ta
