Category,System Model,System Mfg,Part Mfg,Part Number
MRI SCANNER,OPTIMA-MR360-BRIVO-MR355-SIGNA-EXCITE-HDEHDXT-15T,GE,GE,5341318-2
MRI SCANNER,MAGNETOM-SKYRA-30T,SIEMENS,SIEMENS,10568815
MRI SCANNER,LIGHTSPEED-PRO-16-BRIGHTSPEED-ELITE-16,GE,GE,5147443-2
MRI SCANNER,SIGNA-EXCITE-HDEHDXT-15T,GE,GE,46-282757g7
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10121241
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10125650
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10678344
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10496543
MRI SCANNER,SIGNA-EXCITEHD-15TNA-SIGNA-OVATION-035T-DISCOVERY-MR750-30T,GE,GE,2280952-3
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10546895
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10757335
MRI SCANNER,MAGNETOM-TRIO-30T,SIEMENS,SIEMENS,7107878
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,11060801
MRI SCANNER,MAGNETOM-CONCERTO,SIEMENS,SIEMENS,4297490
MRI SCANNER,MAGNETOM-SPECTRA,SIEMENS,SIEMENS,10500100
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10840416
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,7544492
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,7385136
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10277295
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,10655131
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10547071
MRI SCANNER,MAGNETOM-AERA,SIEMENS,SIEMENS,11134366
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,11256812
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,11291571
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10836351
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,7575231
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,11344505
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,4298670
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10358339
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10500097
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10655503
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10656022
MRI SCANNER,OPTIMA-CT660-REVOLUTIONEVO,GE,GE,5418745
MRI SCANNER,MAGNETOM-ALLEGRA,SIEMENS,SIEMENS,7122992
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,9995028
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,1645055
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10838130
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,10432836
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10520100
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,4298639
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,11291352
MRI SCANNER,MAGNETOM-AMIRA-15T-ARTIS-ZEE-MOBILETT-ELARA-MAX-MULTIX-SELECT-DR-MAMMOMAT-REVELATION,SIEMENS,SIEMENS,8427734
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,4299017
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10353258
MRI SCANNER,MAGNETOM-SPECTRA,SIEMENS,SIEMENS,10837387
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10433477
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10861211
MRI SCANNER,MAGNETOM-SPECTRA,SIEMENS,SIEMENS,10654114
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,11291330
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10840286
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,11166585
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,9995408
MRI SCANNER,INTERA-ACHIEVA-15T,PHILIPS,PHILIPS,452215037911
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10019516
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,8115508
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,11267883
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10835462
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,7390367
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,11410538
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10092093
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10496600
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10961946
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,11344743
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,8625670
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,5511030
MRI SCANNER,SIGNA-EXCITE-HDEHDXT-15T,GE,GE,2294300-14
MRI SCANNER,SIGNA-EXCITE-HDEHDXT-15T,GE,GE,5788960
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,11106275
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,11105824
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10700111
MRI SCANNER,MAGNETOM-AERA-MAGNETOM-PRISMA,SIEMENS,SIEMENS,10835288
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10500759
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10837815
MRI SCANNER,MAGNETOM-SONATA-15T,SIEMENS,SIEMENS,7123073
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,11168225
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10700143
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,989603018974
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,8637394
MRI SCANNER,MAGNETOM-AVANTO-FIT,SIEMENS,SIEMENS,10676460
MRI SCANNER,MAGNETOM-TRIO-30T,SIEMENS,SIEMENS,7367910
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,4299421
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10433132
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10045237
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,11166586
MRI SCANNER,MAGNETOM-AVANTO-FIT,SIEMENS,SIEMENS,10906056
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,11166579
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,5137315
MRI SCANNER,MAGNETOM-SPECTRA,SIEMENS,SIEMENS,10655485
MRI SCANNER,MAGNETOM-AERA,SIEMENS,SIEMENS,10915742
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10835250
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10838665
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,11060847
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,11344475
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10045588
MRI SCANNER,SIGNA-EXCITE-15T,GE,GE,46-271465p1
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,10358190
MRI SCANNER,MAGNETOM-CONCERTO,SIEMENS,SIEMENS,4767112
MRI SCANNER,MAGNETOM-TRIO-30T,SIEMENS,SIEMENS,8622321
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,11258593
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,8108297
MRI SCANNER,MAGNETOM-SPECTRA,SIEMENS,SIEMENS,10840469
MRI SCANNER,SIGNA-EXCITE-HDXT-15T-15X,GE,GE,5015199
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,7461184
MRI SCANNER,MAGNETOM-SONATA-15T,SIEMENS,SIEMENS,7365831
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10498707
MRI SCANNER,SIGNA-EXCITE-HDEHDXT-15T,GE,GE,6250052
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,5137323
MRI SCANNER,MAGNETOM-AERA,SIEMENS,SIEMENS,10838994
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,11168221
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10353093
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,10606779
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,11292598
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,7576452
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10048183
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,7462018
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,8112703
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10840476
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10839374
MRI SCANNER,SIGNA-EXCITE-HDEHDXT-15T,GE,GE,2292662-12
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10092045
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10352391
MRI SCANNER,MAGNETOM-TRIO-30T,SIEMENS,SIEMENS,8623394
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10837532
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,7757813
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,10835545
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10915410
MRI SCANNER,MAGNETOM-AVANTO-FIT,SIEMENS,SIEMENS,10850419
MRI SCANNER,MAGNETOM-ALLEGRA,SIEMENS,SIEMENS,10276978
MRI SCANNER,OPTIMA-CT660-REVOLUTIONEVO,GE,GE,2137130-17
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,8543274
MRI SCANNER,OPTIMA-MR360,GE,GE,5941000
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10103897
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,10185708
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,11292525
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10358246
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,11291534
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,453530104122
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213231171
MRI SCANNER,MAGNETOM-SPECTRA,SIEMENS,SIEMENS,10654600
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10496484
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,10277616
MRI SCANNER,MAGNETOM-7T-ANT-94T-LUMINOS-DRF-MAX,SIEMENS,SIEMENS,10647805
MRI SCANNER,MAGNETOM-AERA,SIEMENS,SIEMENS,10591248
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,8396959
MRI SCANNER,SIGNA-EXCITE-HDEHDXT-15T-SIGNA-EXCITE-TWINSPEED-15T,GE,GE,5137103
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10839817
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,11259010
MRI SCANNER,MAGNETOM-ALLEGRA,SIEMENS,SIEMENS,7384188
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10128757
MRI SCANNER,MAGNETOM-SONATA-15T,SIEMENS,SIEMENS,5942771
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10838610
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,3058336
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,1167295
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,11344917
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,11134227
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10655138
MRI SCANNER,SIGNA-PROFILE-02T,GE,GE,2195824
MRI SCANNER,INTERA-ACHIEVA-15T,PHILIPS,PHILIPS,fi_452215032042
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10167985
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10615105
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,11106276
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10678072
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,5772723
MRI SCANNER,MAGNETOM-CONCERTO-CIOS-CONNECT,SIEMENS,SIEMENS,7059975
MRI SCANNER,LIGHTSPEED-VCT-64,GE,GE,5114536-20
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,9995390
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,8113859
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10591817
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,3223422
MRI SCANNER,MAGNETOM-AERA,SIEMENS,SIEMENS,11134546
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,10185531
MRI SCANNER,MAGNETOM-ALLEGRA,SIEMENS,SIEMENS,1291066
MRI SCANNER,SIGNA-EXCITE-HDEHDXT-15T-SIGNA-EXCITEHD-15TNA-OPTIMA-MR360,GE,GE,46-282359p1
MRI SCANNER,MAGNETOM-AVANTO-FIT,SIEMENS,SIEMENS,10743860
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10614772
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10965484
MRI SCANNER,SIGNA-EXCITE-TWINSPEED-15T,GE,GE,46-282694g1
MRI SCANNER,MAGNETOM-SPECTRA,SIEMENS,SIEMENS,10653908
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,453530232571
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,11258728
MRI SCANNER,MAGNETOM-ALLEGRA,SIEMENS,SIEMENS,10100483
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10125789
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10185543
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,7581718
MRI SCANNER,MAGNETOM-AERA,SIEMENS,SIEMENS,10568771
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10849815
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10018613
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10102352
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,11060833
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10498435
MRI SCANNER,MAGNETOM-ALLEGRA,SIEMENS,SIEMENS,7121317
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,8109311
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,5763029
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,11234063
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10128395
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,11134155
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10744052
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,11374162
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10838318
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452215041602
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,10676716
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10018245
MRI SCANNER,MAGNETOM-SPECTRA,SIEMENS,SIEMENS,10849567
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10019257
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,8113461
MRI SCANNER,MAGNETOM-SPECTRA,SIEMENS,SIEMENS,10513476
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10850234
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,7757888
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10838064
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,10277679
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10500770
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10655504
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10850365
MRI SCANNER,MAGNETOM-VIDA-LUMINOS-AGILE-MAX,SIEMENS,SIEMENS,10547013
MRI SCANNER,MAGNETOM-ALLEGRA,SIEMENS,SIEMENS,5942482
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10018611
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,8635596
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10019256
MRI SCANNER,MAGNETOM-AERA,SIEMENS,SIEMENS,10915764
MRI SCANNER,MAGNETOM-PRISMA-ARTIS-Q-ARTIS-QZEN-ARTIS-ZEE,SIEMENS,SIEMENS,10759380
MRI SCANNER,MAGNETOM-ALLEGRA,SIEMENS,SIEMENS,7384394
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10840299
MRI SCANNER,MAGNETOM-PRISMA-DEFINITION-FORCE,SIEMENS,SIEMENS,10546825
MRI SCANNER,MAGNETOM-SPECTRA,SIEMENS,SIEMENS,10655278
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,10613326
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,7122562
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,453530283232
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,11062011
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,11232357
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,4298902
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10892096
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10835631
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10645741
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,11060861
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,11344479
MRI SCANNER,MAGNETOM-ALLEGRA,SIEMENS,SIEMENS,1291223
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10018703
MRI SCANNER,MAGNETOM-ALLEGRA,SIEMENS,SIEMENS,4298696
MRI SCANNER,DISCOVERY-MR750-30T,GE,GE,2317112-10
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10496864
MRI SCANNER,SIGNA-EXCITE-HDEHDXT-15T,GE,GE,46-264028g1
MRI SCANNER,MAGNETOM-AERA,SIEMENS,SIEMENS,11293208
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10111361
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,11293133
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10185534
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,5137455
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10850233
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10849530
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,4298928
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10496607
MRI SCANNER,MAGNETOM-C-035T-MAGNETOM-CONCERTO,SIEMENS,SIEMENS,4694071
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10864115
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10840815
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,453530294621
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10606926
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,11338311
MRI SCANNER,MAGNETOM-SONATA-15T,SIEMENS,SIEMENS,7104735
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10839445
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10906318
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,7546174
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10835477
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,453530360771
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10655480
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,10277465
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,8635588
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,11410483
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10048144
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10498883
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10277200
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,8114717
MRI SCANNER,MAGNETOM-SKYRA-FIT,SIEMENS,SIEMENS,10684434
MRI SCANNER,MAGNETOM-TRIO-30T,SIEMENS,SIEMENS,7366391
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,7575314
MRI SCANNER,MAGNETOM-SKYRA-FIT,SIEMENS,SIEMENS,10850423
MRI SCANNER,OPTIMA-MR450W-DISCOVERY-MR750-30T,GE,GE,5156319-100
MRI SCANNER,MAGNETOM-TRIO-30T,SIEMENS,SIEMENS,7545416
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10105267
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,11407268
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,10399346
MRI SCANNER,MAGNETOM-ALLEGRA,SIEMENS,SIEMENS,8090248
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10277009
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10912358
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10700120
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10616371
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,11234415
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10622028
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,7757755
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10500099
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,10606809
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,10837789
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,11408072
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,10497417
MRI SCANNER,MAGNETOM-AMIRA-15T,SIEMENS,SIEMENS,11062061
MRI SCANNER,LIGHTSPEED-VCT-32-LIGHTSPEED-VCT-64,GE,GE,5255299-21
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,10500503
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10676689
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,11265460
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10353336
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,7575298
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,7757862
MRI SCANNER,MAGNETOM-SPECTRA,SIEMENS,SIEMENS,10655523
MRI SCANNER,MAGNETOM-AERA,SIEMENS,SIEMENS,11134119
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10353111
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,3143828
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10700152
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10912168
MRI SCANNER,MAGNETOM-SEMPRA,SIEMENS,SIEMENS,10643503
MRI SCANNER,MAGNETOM-AVANTO-15T,SIEMENS,SIEMENS,10619862
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,10835478
MRI SCANNER,MAGNETOM-SOLA-15T-ARTIS-Q-ARTIS-QZEN,SIEMENS,SIEMENS,9702937
MRI SCANNER,SIGNA-EXCITE-HDEHDXT-15T,GE,GE,5196919
MRI SCANNER,MAGNETOM-SPECTRA,SIEMENS,SIEMENS,10653907
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10019367
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,10746385
MRI SCANNER,MAGNETOM-VIDA,SIEMENS,SIEMENS,8625662
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10568937
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,11291353
MRI SCANNER,MAGNETOM-7T-ANT-94T,SIEMENS,SIEMENS,10018882
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10759461
MRI SCANNER,MAGNETOM-PRISMA,SIEMENS,SIEMENS,10615101
MRI SCANNER,MAGNETOM-SPECTRA,SIEMENS,SIEMENS,10653903
MRI SCANNER,MAGNETOM-ALLEGRA,SIEMENS,SIEMENS,7383586
MRI SCANNER,MAGNETOM-C-035T,SIEMENS,SIEMENS,10352708
MRI SCANNER,MAGNETOM-AVANTO-FIT,SIEMENS,SIEMENS,10850492
MRI SCANNER,MAGNETOM-SOLA-15T,SIEMENS,SIEMENS,10399456
